City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,14.34,95,100,3.13,NZ,1714503877
1,guerrero negro,27.9769,-114.0611,19.9,54,92,4.21,MX,1714503877
2,vilyuchinsk,52.9306,158.4028,2.15,75,3,5.11,RU,1714503877
3,malangali,-8.5667,34.85,17.45,86,32,5.02,TZ,1714503877
4,edinburgh of the seven seas,-37.0676,-12.3116,13.4,72,100,13.36,SH,1714503878
5,codrington,-38.2667,141.9667,13.31,74,100,6.95,AU,1714503878
6,west island,-12.1568,96.8225,27.99,89,75,3.09,CC,1714503878
7,port-aux-francais,-49.35,70.2167,4.41,77,68,15.89,TF,1714503878
8,adamstown,-25.066,-130.1015,23.4,77,50,5.56,PN,1714503878
9,isafjordur,66.0755,-23.124,5.02,75,100,3.6,IS,1714503878
10,punta arenas,-53.15,-70.9167,5.06,65,0,4.63,CL,1714503879
11,ust-nera,64.5667,143.2,-11.65,98,100,2.21,RU,1714503879
12,nanganga,-10.3833,39.15,22.19,92,6,0.97,TZ,1714503879
13,harstad,68.799,16.5293,6.2,87,95,1.34,NO,1714503879
14,sinabang,2.4803,96.3801,26.77,87,98,2.46,ID,1714503879
15,klyuchi,52.2667,79.1667,4.19,64,100,3.97,RU,1714503879
16,warmbaths,-24.8833,28.2833,18.49,37,0,2.07,ZA,1714503863
17,rongelap,11.1635,166.8941,27.5,81,100,8.72,MH,1714503880
18,alofi,-19.0595,-169.9187,24.94,94,20,1.54,NU,1714503880
19,invercargill,-46.4,168.35,7.79,98,100,2.24,NZ,1714503880
20,frutal,-20.0247,-48.9406,32.29,31,0,1.86,BR,1714503880
21,north bend,43.4065,-124.2243,12.31,82,100,7.72,US,1714503880
22,aden,12.7794,45.0367,29.29,84,0,7.79,YE,1714503881
23,chonchi,-42.6128,-73.8092,11.18,58,84,2.7,CL,1714503881
24,neiafu,-18.65,-173.9833,26.38,89,40,0.0,TO,1714503881
25,tazovsky,67.4667,78.7,-16.58,99,95,2.36,RU,1714503881
26,anaconda,46.1285,-112.9423,3.55,57,100,3.59,US,1714503881
27,st. john's,47.5649,-52.7093,6.75,98,100,8.94,CA,1714503612
28,ancud,-41.8697,-73.8203,9.5,59,7,4.3,CL,1714503881
29,grytviken,-54.2811,-36.5092,-0.64,73,23,3.39,GS,1714503882
30,cockburn town,21.4612,-71.1419,25.3,72,62,8.55,TC,1714503882
31,coquimbo,-29.9533,-71.3436,20.85,37,0,5.14,CL,1714503882
32,artigas,-30.4,-56.4667,27.39,84,64,5.23,UY,1714503882
33,taoudenni,22.6783,-3.9836,28.69,7,97,2.79,ML,1714503882
34,bredasdorp,-34.5322,20.0403,15.55,81,0,1.86,ZA,1714503883
35,olonkinbyen,70.9221,-8.7187,-0.31,84,100,1.91,SJ,1714503883
36,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,70,0,8.0,RU,1714503883
37,saipan,15.1355,145.701,27.39,78,20,5.14,MP,1714503883
38,aasiaat,68.7098,-52.8699,-6.73,73,32,5.11,GL,1714503883
39,kununurra,-15.7667,128.7333,22.99,73,61,2.06,AU,1714503884
40,bonthe,7.5264,-12.505,28.76,77,76,4.97,SL,1714503884
41,karakocan,38.9558,40.0386,17.72,67,80,1.74,TR,1714503884
42,vernon,50.2581,-119.2691,13.46,50,100,2.68,CA,1714503609
43,twin falls,42.3505,-114.6445,11.19,26,0,5.14,US,1714503884
44,fort bragg,35.139,-79.006,28.44,48,40,3.6,US,1714503783
45,namie,37.4833,141.0,18.17,81,100,2.05,JP,1714503884
46,stanley,54.868,-1.6985,14.77,67,20,3.6,GB,1714503885
47,coracora,-15.0333,-73.7833,16.74,67,93,3.69,PE,1714503885
48,crane,31.3974,-102.3501,31.9,30,0,7.09,US,1714503885
49,constantia,44.1833,28.65,11.5,73,1,7.17,RO,1714503885
50,conception bay south,47.4999,-52.9981,6.62,99,100,1.54,CA,1714503885
51,lebu,-37.6167,-73.65,10.96,78,100,2.3,CL,1714503886
52,mejit,10.2753,170.8646,27.77,77,99,9.55,MH,1714503886
53,albany,42.6001,-73.9662,22.63,91,100,4.14,US,1714503886
54,yellowknife,62.456,-114.3525,-0.71,69,75,3.6,CA,1714503666
55,coxen hole,16.3244,-86.5366,27.69,79,85,5.38,HN,1714503886
56,hell-ville,-13.4,48.2667,28.52,75,99,2.42,MG,1714503886
57,varkala,8.7341,76.7067,27.88,76,100,1.78,IN,1714503886
58,agbabu,6.5886,4.8343,28.19,84,58,2.45,NG,1714503887
59,margaret river,-33.95,115.0667,15.96,77,100,5.34,AU,1714503651
60,afaahiti,-17.75,-149.2833,26.93,73,88,7.18,PF,1714503887
61,lamin,13.3522,-16.4339,34.06,46,95,4.2,GM,1714503887
62,minas de marcona,-15.2119,-75.1103,23.01,53,1,6.44,PE,1714503887
63,imperatriz,-5.5264,-47.4917,26.03,89,75,1.03,BR,1714503887
64,kolonia town,6.964,158.206,28.41,80,100,9.54,FM,1714503888
65,ushuaia,-54.8,-68.3,3.81,75,75,3.09,AR,1714503761
66,papatowai,-46.5619,169.4708,9.22,91,100,5.37,NZ,1714503888
67,thunder bay,48.4001,-89.3168,7.99,66,100,2.57,CA,1714503888
68,arkhara,49.4212,130.0842,9.31,47,100,0.45,RU,1714503889
69,nagqu,31.5,92.0,0.98,20,100,1.31,CN,1714503889
70,dzhetygara,52.1908,61.2006,5.87,65,7,3.6,KZ,1714503889
71,anadyr,64.75,177.4833,-3.72,80,0,2.0,RU,1714503889
72,kone,-21.0595,164.8658,19.02,87,0,2.0,NC,1714503889
73,longyearbyen,78.2186,15.6401,0.91,80,75,4.12,SJ,1714503890
74,flying fish cove,-10.4217,105.6791,26.82,83,75,5.14,CX,1714503890
75,tobelo,1.7284,128.0095,26.4,84,100,0.99,ID,1714503890
76,blackmans bay,-43.0167,147.3167,7.07,89,10,0.89,AU,1714503890
77,nadym,65.5333,72.5167,-9.46,94,52,4.3,RU,1714503891
78,sidirokastro,41.2347,23.3867,15.63,83,21,1.51,GR,1714503891
79,puerto ayora,-0.7393,-90.3518,27.98,70,97,4.91,EC,1714503891
80,ardabil,38.2498,48.2933,11.75,66,40,6.17,IR,1714503891
81,wailua homesteads,22.0669,-159.378,26.24,75,40,4.12,US,1714503891
82,kurumkan,54.3,110.3,5.07,78,100,4.47,RU,1714503892
83,terrace,54.5163,-128.6035,10.68,66,75,3.09,CA,1714503892
